Disaster_Subgroup,Disaster_Type,Disaster_Subtype,ISO,Country,Subregion,Magnitude,Start_Year,Start_Month,Start_Day,End_Year,End_Month,End_Day,Total_Deaths,No_Injured,No_Affected,Total_Affected,Total_Damage_Adj,CPI
Hydrological,Flood,Flash flood,IND,India,Southern Asia,14179.0,2015,5,17.0,2015,5,21.0,8.0,21.0,200.0,200.0,107022.0,75.55797676894446
Hydrological,Flood,Riverine flood,PAK,Pakistan,Southern Asia,29905.0,2015,7,7.0,2015,7,13.0,18.0,21.0,25450.0,20000.0,107022.0,75.55797676894446
Meteorological,Storm,Lightning/Thunderstorms,BGD,Bangladesh,Southern Asia,144.0,2015,5,2.0,2015,5,3.0,13.0,52.0,40000.0,14400.0,97437.0,75.55797676894446
Hydrological,Flood,Flood (General),CHN,China,Eastern Asia,29905.0,2015,5,13.0,2015,5,17.0,20.0,21.0,60000.0,60000.0,336166.0,75.55797676894446
Hydrological,Flood,Flood (General),CHN,China,Eastern Asia,29905.0,2015,5,28.0,2015,5,1.0,17.0,21.0,60000.0,60000.0,661744.0,75.55797676894446
Hydrological,Mass movement (wet),Landslide (wet),NPL,Nepal,Southern Asia,0.0,2015,6,6.0,2015,6,11.0,36.0,18.0,1275.5,18.0,20565.5,75.55797676894446
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,29905.0,2015,6,1.0,2015,6,6.0,9.0,21.0,60000.0,60000.0,827179.0,75.55797676894446
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,6.4,2015,7,3.0,2015,7,3.0,4.0,48.0,3000.0,3048.0,4235.0,75.55797676894446
Hydrological,Flood,Flood (General),PAK,Pakistan,Southern Asia,73485.14,2015,6,25.0,2015,6,29.0,10.0,21.0,25450.0,20000.0,107022.0,75.55797676894446
Hydrological,Flood,Riverine flood,BGD,Bangladesh,Southern Asia,29905.0,2015,7,25.0,2015,7,27.0,11.0,21.0,10000.0,10000.0,107022.0,75.55797676894446
Hydrological,Flood,Riverine flood,MMR,Myanmar,South-eastern Asia,26424.0,2015,7,15.0,2015,7,19.0,149.0,21.0,1621703.0,1621703.0,157495.0,75.55797676894446
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,29905.0,2016,1,26.0,2016,1,29.0,11.0,21.0,25450.0,3000.0,26140.0,76.51121620386147
Meteorological,Storm,Tropical cyclone,BGD,Bangladesh,Southern Asia,144.0,2015,7,29.0,2015,7,30.0,45.0,52.0,2600000.0,2600000.0,52939.0,75.55797676894446
Hydrological,Flood,Flood (General),LAO,Lao People's Democratic Republic,South-eastern Asia,29905.0,2015,8,1.0,2015,8,15.0,19.0,21.0,47800.0,47800.0,13235.0,75.55797676894446
Hydrological,Flood,Riverine flood,IND,India,Southern Asia,29905.0,2015,7,7.0,2015,7,13.0,25.0,21.0,25450.0,20000.0,107022.0,75.55797676894446
